id	map	feature	lang	ref
ite	78a	No grammatical evidentials	Itelmen	Georg and Volodin 1999
ito	78a	Separate particle	Itonama	Camp and Liccardi 1967
itz	78a	Separate particle	Itzaj	Hofling 1991
jak	78a	Separate particle	Jakaltek	Craig 1977
jmm	78a	Verbal affix or clitic	Jamamadi	Derbyshire 1986
jpn	78a	Verbal affix or clitic	Japanese	Martin 1975
jaq	78a	Verbal affix or clitic	Jaqaru	Hardman 1986
jem	78a	Separate particle	Jemez	Yumitani 1998
juh	78a	No grammatical evidentials	Ju|'hoan	Snyman 1970
kng	78a	Verbal affix or clitic	Kaingang	Wiesemann 1972
klh	78a	Verbal affix or clitic	Kalasha	Bashir 1989
kls	78a	No grammatical evidentials	Kalispel	Vogt 1940
kmk	78a	Verbal affix or clitic	Kalmyk	Todaeva 1968
kma	78a	Separate particle	Kamaiurá	Seki 1990
knd	78a	Verbal affix or clitic	Kannada	Sridhar 1990
knr	78a	No grammatical evidentials	Kanuri	Hutchison 1981
kpm	78a	No grammatical evidentials	Kapampangan	Mirikitani 1972
krk	78a	Separate particle	Karok	Harrington 1931
ksh	78a	Verbal affix or clitic	Kashaya	Oswalt 1986
kto	78a	Verbal affix or clitic	Kato	Goddard 1912
kws	78a	Separate particle	Kawaiisu	Zigmond et al. 1990-1991
kyl	78a	Verbal affix or clitic	Kayah Li (Eastern)	Solnit 1997
kay	78a	Verbal affix or clitic	Kayardild	Evans 1995
ker	78a	No grammatical evidentials	Kera	Ebert 1979
ket	78a	No grammatical evidentials	Ket	Werner 1997a
kew	78a	Verbal affix or clitic	Kewa	Franklin 1971
khl	78a	No grammatical evidentials	Khalaj	Kiral 2000
kha	78a	Mixed	Khalkha	Street 1963
khs	78a	No grammatical evidentials	Khasi	Nagaraja 1985
khm	78a	No grammatical evidentials	Khmer	Jacob 1968
kmu	78a	No grammatical evidentials	Khmu'	Premsrirat 1987
kho	78a	No grammatical evidentials	Khoekhoe	Hagman 1977
khw	78a	Part of the tense system	Khowar	Bashir 1989
kic	78a	Separate particle	Kickapoo	Voorhis 1974
klv	78a	No grammatical evidentials	Kilivila	Senft 1986
kio	78a	Verbal affix or clitic	Kiowa	Watkins 1984
krb	78a	No grammatical evidentials	Kiribati	Groves et al. 1985
koa	78a	Verbal affix or clitic	Koasati	Kimball 1991
kob	78a	No grammatical evidentials	Kobon	Davies 1981b
kod	78a	Verbal affix or clitic	Kodava	Ebert 1996
kol	78a	No grammatical evidentials	Kolami	Emeneau 1955
kzy	78a	Mixed	Komi-Zyrian	Leinonen 2000
kon	78a	No grammatical evidentials	Kongo	Bentley 1887
kor	78a	Verbal affix or clitic	Korean	Chang 1996
kje	78a	Verbal affix or clitic	Koreguaje	Cook and Criswell 1993
kfe	78a	No grammatical evidentials	Koromfe	Rennison 1997
kse	78a	No grammatical evidentials	Koyraboro Senni	Heath 1999a
kro	78a	No grammatical evidentials	Krongo	Reh 1985
knm	78a	No grammatical evidentials	Kunama	Bender 1996
kji	78a	Part of the tense system	Kurmanji	Bulut 2000
kut	78a	No grammatical evidentials	Kutenai	Garvin 1948b
kwk	78a	Verbal affix or clitic	Kwakw'ala	Boas 1911a
lad	78a	Part of the tense system	Ladakhi	Koshal 1979
lah	78a	Separate particle	Lahu	Matisoff 1973
lak	78a	No grammatical evidentials	Lak	Murkelinskij 1967
lkt	78a	Separate particle	Lakhota	Boas and Swanton 1911
lan	78a	No grammatical evidentials	Lango	Noonan 1992
lat	78a	Verbal affix or clitic	Latvian	Mathiassen 1997
lav	78a	No grammatical evidentials	Lavukaleve	Terrill 1999
laz	78a	Part of the tense system	Laz	Holisky 1991b
leg	78a	Separate particle	Lega	Botne 1995
lep	78a	No grammatical evidentials	Lepcha	Mainwaring 1876
lez	78a	Verbal affix or clitic	Lezgian	Haspelmath 1993
lim	78a	Separate particle	Limbu	van Driem 1987
lit	78a	Verbal affix or clitic	Lithuanian	Mathiassen 1996
kkv	78a	No grammatical evidentials	Lusi	Counts 1969
luv	78a	No grammatical evidentials	Luvale	Horton 1949
mab	78a	No grammatical evidentials	Maba	Trenga 1947
mch	78a	No grammatical evidentials	Machiguenga	Snell and Wise 1963
mac	78a	No grammatical evidentials	Macushi	Abbott 1991
mne	78a	Verbal affix or clitic	Maidu (Northeast)	Dixon 1911
mak	78a	Verbal affix or clitic	Makah	Jacobsen 1986
mal	78a	No grammatical evidentials	Malagasy	Rabenilaina 1983
mam	78a	Verbal affix or clitic	Mam	England 1983
